protein_id	ensg	adipose tissue	adrenal gland	appendix	bone marrow	breast	bronchus	cartilage	caudate	cerebellum	cerebral cortex	cervix	choroid plexus	colon	dorsal raphe	duodenum	endometrium	endometrium 1	endometrium 2	epididymis	esophagus	eye	fallopian tube	gallbladder	hair	heart muscle	hippocampus	hypothalamus	kidney	lactating breast	liver	lung	lymph node	nasopharynx	oral mucosa	ovary	pancreas	parathyroid gland	pituitary gland	placenta	prostate	rectum	retina	salivary gland	seminal vesicle	skeletal muscle	skin 1	skin 2	small intestine	smooth muscle	soft tissue 1	soft tissue 2	sole of foot	spleen	stomach 1	stomach 2	testis	thymus	thyroid gland	tonsil	urinary bladder	vagina
ENSP00000329869	ENSG00000115705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ENSP00000329880	ENSG00000112137	0	1	0	0	0	1	0	3	2	2	0	0	2	0	1	0	0	0	1	0	0	0	1	0	0	2	0	2	0	0	2	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	1	0	3	0	0	1	0	2	0	1	1	0	0
ENSP00000329915	ENSG00000183527	0	2	2	0	2	0	0	2	3	2	0	0	2	0	2	0	0	0	1	1	0	0	2	0	2	2	0	1	0	0	0	1	2	0	0	2	0	0	2	0	1	0	0	0	0	2	1	2	2	2	0	0	0	0	2	2	0	1	2	0	1
ENSP00000329926	ENSG00000185933	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSP00000330161	ENSG00000183421	0	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	2	1	1	0	0	1	0	0
ENSP00000330237	ENSG00000132906	1	2	2	2	2	2	0	2	2	2	2	0	2	0	2	0	2	2	2	1	0	2	2	0	2	2	0	2	0	1	1	2	2	1	1	2	2	0	2	1	2	0	2	2	1	1	2	2	1	1	1	0	2	2	2	2	0	2	2	2	1
ENSP00000330276	ENSG00000070778	2	2	0	2	1	2	0	2	2	2	2	0	2	0	2	0	1	2	3	1	0	1	3	0	2	2	0	2	0	2	2	1	2	1	0	2	2	0	2	2	1	0	2	2	2	1	1	2	1	0	2	0	1	2	1	3	0	3	1	1	2
ENSP00000330349	ENSG00000183258	2	2	2	2	2	3	0	3	3	2	3	0	2	0	3	0	1	2	3	3	0	3	3	0	1	3	0	2	0	1	2	2	3	3	2	2	2	0	2	2	2	0	2	3	2	2	3	3	2	2	1	0	2	2	3	3	0	2	3	3	2
ENSP00000330374	ENSG00000133561	2	2	2	1	2	1	0	2	2	2	1	0	2	0	2	0	1	1	1	2	0	1	2	0	2	2	0	2	0	0	2	1	2	2	2	2	1	0	2	2	2	0	1	1	1	3	1	2	1	3	3	0	1	2	2	2	0	1	2	2	1
ENSP00000330382	ENSG00000100311	2	2	3	2	2	2	0	3	3	2	2	0	3	0	3	0	2	3	2	2	0	2	2	0	2	3	0	2	0	2	2	2	2	2	2	3	2	0	3	2	3	0	2	3	3	2	2	3	3	1	1	0	2	2	2	2	0	2	2	2	1
ENSP00000330393	ENSG00000116678	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSP00000330460	ENSG00000118197	2	3	3	0	2	2	0	1	1	3	1	0	3	0	2	0	2	2	3	2	0	2	3	0	0	1	0	2	0	2	2	3	2	1	0	2	3	0	2	3	2	0	2	2	0	2	3	2	2	2	1	0	2	2	2	2	0	0	3	2	0
ENSP00000330570	ENSG00000183230	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSP00000330658	ENSG00000182752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSP00000330696	ENSG00000089041	0	2	2	1	2	2	0	2	3	2	1	0	2	0	2	0	2	2	1	2	0	2	2	0	2	2	0	3	0	1	2	0	2	2	0	1	0	0	2	2	2	0	1	2	0	2	2	2	0	1	1	0	1	2	2	1	0	2	1	2	1
ENSP00000330737	ENSG00000184752	1	3	3	1	3	3	0	3	3	3	3	0	3	0	3	0	3	2	3	2	0	3	3	0	3	3	0	3	0	3	1	2	3	2	1	3	2	0	3	3	3	0	3	3	2	3	3	3	1	2	1	0	1	3	3	3	0	3	3	3	1
ENSP00000330753	ENSG00000185658	1	3	2	2	2	2	0	2	2	2	2	0	2	0	2	0	2	2	2	2	0	2	3	0	3	2	0	3	0	3	2	2	2	1	1	2	3	0	3	2	2	0	2	2	2	2	2	2	1	1	2	0	2	2	2	2	0	2	2	2	2
ENSP00000330825	ENSG00000185885	0	0	2	1	1	0	0	0	0	2	1	0	2	0	1	0	2	2	3	1	0	2	0	0	0	0	0	2	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	2	0	2	0	0	0	0	0	2	0	1
ENSP00000331063	ENSG00000148600	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSP00000331106	ENSG00000215193	2	3	2	1	2	2	0	2	2	2	2	0	3	0	3	0	2	2	1	3	0	3	3	0	2	2	0	3	0	1	2	2	3	2	1	2	0	0	2	2	3	0	2	2	0	2	2	2	2	1	1	0	2	3	3	3	0	2	2	3	1
ENSP00000331288	ENSG00000184584	1	0	2	1	0	3	0	2	0	1	1	0	2	0	1	0	0	1	2	1	0	3	1	0	2	0	0	1	0	0	3	2	3	2	0	2	0	0	1	2	2	0	1	2	0	3	3	0	0	0	2	0	2	0	1	2	0	0	3	2	2
